# Paso ID Masa X Y Vx Vy
3 38 22.62560342 456.53456422 105.49426448 -0.00027053 0.00025363
3 39 33.11015721 883.28025992 416.50995212 -0.00007767 0.00025711
3 40 90.77601631 356.29784512 122.08795989 0.00014478 0.00026206
3 41 1.05151728 647.69011191 272.13224888 -0.00046241 0.00004680
3 42 17.30092920 304.78126550 352.56885915 0.00026922 0.00024989
3 43 69.55116717 484.82997336 534.08942641 -0.00012790 0.00015875
3 44 17.66081356 244.12552784 269.41233329 0.00028721 -0.00000456
3 45 40.97978112 558.10199890 218.76423577 -0.00013440 0.00051071
3 46 25.44073031 253.91540917 64.89223934 -0.00014550 -0.00029472
3 47 15.66060595 712.27055577 696.30426224 -0.00129980 -0.00033417
3 48 97.68488029 266.78101935 997.74048310 0.00014234 -0.00028375
3 49 35.16205361 33.05074712 411.03702879 0.00044630 0.00037820

4 0 78.18940876 183.43479144 796.54297642 0.00011819 -0.00026213
4 1 10.89751713 445.83277275 596.85014996 0.00050672 -0.00038725
4 2 15.14381463 333.70865722 459.24888180 0.00152342 -0.00020170
4 3 72.47787839 56.41158803 650.88846638 0.00038553 -0.00023472
4 4 99.22894486 0.77877375 938.55270769 0.00029922 -0.00022296
4 5 1.69956456 611.65315991 617.48155089 -0.00008530 0.00144958
4 6 40.58623680 524.77465817 23.06244351 -0.00012163 0.00049825
4 7 24.04436270 973.75551727 46.66567424 -0.00017318 0.00019844
4 8 38.86373701 618.38600420 90.60644345 -0.00035258 0.00026348
4 9 86.13409991 466.76290928 983.23087031 0.00035491 -0.00052096
4 10 2.31323085 450.49926366 680.30754287 0.00034243 0.00013395
4 11 39.15623412 563.28829585 942.20174776 0.00269262 -0.00021785
4 12 24.86152145 230.89374347 15.96627313 -0.00257708 0.00052478
4 13 83.48629641 609.99666846 683.26353324 0.00039273 0.00029794
4 14 19.04137260 391.06059470 173.36462325 -0.00049615 -0.00079855
4 15 21.58622472 425.15588490 755.36140371 0.00024867 -0.00017118
4 16 84.38619253 31.31330652 567.70034013 0.00049101 0.00042864
4 17 92.73922736 395.15023142 449.75408474 -0.00000763 -0.00147906
4 18 57.47395362 326.54077743 727.27199611 0.00019352 -0.00000022
4 19 84.60885120 961.17201699 520.83427135 -0.00038979 0.00017760
4 20 59.08836569 539.69215594 747.32011183 0.00088024 0.00002777
4 21 28.32391921 607.03417342 965.25514589 -0.00255255 -0.00549849
4 22 2.54800409 165.26695262 296.27351139 0.00037101 0.00017031
4 23 30.05532946 394.88151815 423.40164852 0.00004240 0.00571597
4 24 71.42285296 198.84244622 14.07983822 0.00143399 0.00048655
4 25 92.70378692 605.95996693 790.17552127 -0.00045120 -0.00047182
4 26 85.15381895 914.95966673 651.07702486 -0.00029002 -0.00018948
4 27 37.71100725 95.41011331 449.45068015 -0.00009296 0.00019243
4 28 59.53848078 665.92231129 668.84127618 -0.00136315 0.00063725
4 29 38.90976057 561.24341600 274.72177750 -0.00023337 -0.00046403
4 30 72.45122229 848.91380949 971.71208601 -0.00032470 -0.00024493
4 31 5.00292559 256.06832578 235.98493817 0.00011623 0.00063044
4 32 44.49431423 110.89082734 710.66288083 0.00002656 -0.00030163
4 33 48.06165225 895.76359288 201.71921093 -0.00017604 0.00015378
4 34 14.79381392 695.51606814 563.27559151 -0.00041129 0.00055777
4 35 21.10306174 539.84108772 604.41738526 -0.00004364 0.00025272
4 36 69.78370867 598.86543970 942.85360408 -0.00086813 0.00104176
4 37 30.26773512 624.35401951 880.46784289 -0.00083038 0.00014920
4 38 22.62560342 456.53456084 105.49426765 -0.00033816 0.00031704
4 39 33.11015721 883.28025895 416.50995533 -0.00009709 0.00032139
4 40 90.77601631 356.29784693 122.08796316 0.00018098 0.00032757
